名前	グループ	プロファイル	有効	操作	優先	プログラム	ローカル アドレス	リモート アドレス	プロトコル	ローカル ポート	リモート ポート	承認されているユーザー	承認されているコンピューター	承認されたローカル プリンシパル	ローカル ユーザー オーナー	アプリケーション パッケージ	
コア ネットワーク - ルーター アドバタイズ (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	fe80::/64	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - ルーター要請 (ICMPv6-受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 近隣探索アドバタイズ (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 近隣探索要請 (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 時間超過 (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 到達不可能な宛先 - 断片化が必要 (ICMPv4 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv4	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 到達不可能な宛先 (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - 動的ホスト構成プロトコル (DHCP 受信)	コア ネットワーク	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	68	67	任意	任意	任意	任意	任意	
スケジュールされたリモート タスク管理 (RPC)	スケジュールされたリモート タスク管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
スケジュールされたリモート タスク管理 (RPC-EPMAP)	スケジュールされたリモート タスク管理	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	TCP	RPC エンドポイント マッパー	任意	任意	任意	任意	任意	任意	
ソフトウェア ロード バランサー マルチプレクサー (TCP 受信)	ソフトウェア ロード バランサー	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\MuxSvcHost.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	任意	
デバイス キャスト SSDP 探索 (UDP 受信)	デバイス キャスト機能	パブリック	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	PlayTo 検出	任意	任意	任意	任意	任意	任意	
デバイス キャスト UPnP イベント (TCP 受信)	デバイス キャスト機能	パブリック	はい	許可	いいえ	System	任意	PlayTo レンダラー	TCP	2869	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (HTTP ストリーミング受信)	デバイス キャスト機能	ドメイン	はい	許可	いいえ	System	任意	任意	TCP	10246	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (HTTP ストリーミング受信)	デバイス キャスト機能	プライベート	はい	許可	いいえ	System	任意	ローカル サブネット	TCP	10246	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (HTTP ストリーミング受信)	デバイス キャスト機能	パブリック	はい	許可	いいえ	System	任意	PlayTo レンダラー	TCP	10246	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (RTCP ストリーミング受信)	デバイス キャスト機能	プライベート	はい	許可	いいえ	%SystemRoot%\system32\mdeserver.exe	任意	ローカル サブネット	UDP	任意	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (RTCP ストリーミング受信)	デバイス キャスト機能	パブリック	はい	許可	いいえ	%SystemRoot%\system32\mdeserver.exe	任意	PlayTo レンダラー	UDP	任意	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (RTCP ストリーミング受信)	デバイス キャスト機能	ドメイン	はい	許可	いいえ	%SystemRoot%\system32\mdeserver.exe	任意	任意	UDP	任意	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (RTSP ストリーミング受信)	デバイス キャスト機能	ドメイン	はい	許可	いいえ	%SystemRoot%\system32\mdeserver.exe	任意	任意	TCP	23554, 23555, 23556	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (RTSP ストリーミング受信)	デバイス キャスト機能	パブリック	はい	許可	いいえ	%SystemRoot%\system32\mdeserver.exe	任意	PlayTo レンダラー	TCP	23554, 23555, 23556	任意	任意	任意	任意	任意	任意	
デバイス キャスト ストリーミング サーバー (RTSP ストリーミング受信)	デバイス キャスト機能	プライベート	はい	許可	いいえ	%SystemRoot%\system32\mdeserver.exe	任意	ローカル サブネット	TCP	23554, 23555, 23556	任意	任意	任意	任意	任意	任意	
デバイス キャスト機能 (qWave TCP 受信)	デバイス キャスト機能	プライベート, パブリック	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	PlayTo レンダラー	TCP	2177	任意	任意	任意	任意	任意	任意	
デバイス キャスト機能 (qWave UDP 受信)	デバイス キャスト機能	プライベート, パブリック	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	PlayTo レンダラー	UDP	2177	任意	任意	任意	任意	任意	任意	
ネットワーク探索 (LLMNR UDP 受信)	ネットワーク探索	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	5355	任意	任意	任意	任意	任意	任意	
ネットワーク探索 (NB データグラム受信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	UDP	138	任意	任意	任意	任意	任意	任意	
ネットワーク探索 (NB 名受信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	UDP	137	任意	任意	任意	任意	任意	任意	
ネットワーク探索 (Pub WSD 受信)	ネットワーク探索	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	3702	任意	任意	任意	任意	任意	任意	
ネットワーク探索 (SSDP 受信)	ネットワーク探索	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	1900	任意	任意	任意	任意	任意	任意	
ネットワーク探索 (UPnP 受信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	2869	任意	任意	任意	任意	任意	任意	
ネットワーク探索 (WSD EventsSecure 受信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	5358	任意	任意	任意	任意	任意	任意	
